Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Cesar Arzamendia,71.0,155.0,,Orthodox,665280000.0,5.37,45.0,5.2,56.0,7.32,75.0,0.0,2.4,8,3,0,0
Kai Asakura,68.0,125.0,69.0,Orthodox,752025600.0,2.4,58.0,4.52,38.0,0.0,0.0,57.0,0.0,21,5,0,0
Yanal Ashmouz,69.0,155.0,69.0,Orthodox,796608000.0,2.94,50.0,4.54,55.0,4.8,50.0,60.0,0.0,8,1,0,0
Askar Askarov,66.0,125.0,67.0,Orthodox,718588800.0,3.05,54.0,2.8,57.0,2.6,24.0,66.0,0.4,14,1,1,0
Cyril Asker,72.0,247.0,74.0,Orthodox,504230400.0,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,9,4,0,0
Khusein Askhabov,68.0,145.0,69.0,Orthodox,792633600.0,2.0,26.0,4.13,56.0,0.0,0.0,66.0,0.0,23,1,0,0
Scott Askham,75.0,185.0,75.0,Southpaw,580089600.0,3.03,46.0,3.52,52.0,0.44,18.0,65.0,0.7,14,4,0,0
Ben Askren,71.0,170.0,73.0,Orthodox,458956800.0,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9,19,2,0,1
Ibo Aslan,75.0,205.0,77.0,Orthodox,830217600.0,8.34,50.0,4.34,64.0,0.0,0.0,100.0,0.0,14,1,0,0
Tom Aspinall,77.0,256.0,78.0,Orthodox,734486400.0,8.07,67.0,2.89,65.0,3.27,100.0,100.0,1.6,15,3,0,0
Junior Assuncao,69.0,145.0,72.0,Orthodox,362188800.0,3.31,62.0,2.06,44.0,2.43,24.0,66.0,0.7,16,6,0,0
Raphael Assuncao,65.0,135.0,66.0,Orthodox,395884800.0,3.22,42.0,2.5,66.0,1.65,39.0,78.0,0.2,28,10,0,0
Rich Attonito,70.0,170.0,72.0,Orthodox,235267200.0,2.28,47.0,2.13,59.0,0.74,37.0,75.0,0.0,10,5,0,0
Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,604195200.0,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5,11,5,0,0
Pat Audinwood,72.0,155.0,,Orthodox,513993600.0,1.17,12.0,4.31,41.0,0.8,50.0,0.0,0.0,11,2,1,0
Marcus Aurelio,70.0,155.0,74.0,Orthodox,114480000.0,1.42,33.0,2.27,59.0,1.69,27.0,27.0,1.3,22,10,0,0
Chris Avila,70.0,145.0,,Orthodox,727142400.0,2.37,30.0,4.17,48.0,0.0,0.0,46.0,0.0,5,4,0,0
Julia Avila,67.0,135.0,68.0,Orthodox,579312000.0,2.59,43.0,2.86,50.0,0.54,33.0,50.0,0.3,9,3,0,0
Jessin Ayari,72.0,155.0,73.0,Orthodox,707270400.0,3.53,37.0,3.59,58.0,0.0,0.0,50.0,0.3,16,6,0,0
Abu Azaitar,69.0,185.0,76.0,Orthodox,510796800.0,4.38,43.0,4.32,51.0,1.0,37.0,42.0,0.0,14,4,1,0
Ottman Azaitar,68.0,155.0,71.0,Switch,635472000.0,4.43,44.0,4.11,52.0,0.0,0.0,100.0,0.0,13,3,0,0
Hunter Azure,68.0,145.0,69.0,Orthodox,699494400.0,3.92,53.0,2.08,58.0,1.97,34.0,67.0,1.3,9,2,0,0
Niklas Backstrom,73.0,145.0,,Orthodox,619747200.0,1.12,41.0,3.65,40.0,2.92,80.0,72.0,2.2,11,3,0,1
Seth Baczynski,75.0,170.0,75.0,Orthodox,372902400.0,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,20,14,0,0
Ryan Bader,74.0,205.0,74.0,Orthodox,423792000.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,23,5,0,0
Izabela Badurek,65.0,115.0,,Orthodox,679190400.0,3.74,71.0,4.9,32.0,1.75,12.0,100.0,0.0,6,3,0,0
Miguel Baeza,74.0,170.0,74.0,Orthodox,714528000.0,4.09,49.0,5.92,46.0,0.36,22.0,54.0,2.0,10,4,0,0
Ali Bagautinov,64.0,125.0,65.0,Orthodox,487209600.0,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,15,6,0,0
Mehdi Baghdad,73.0,155.0,,Orthodox,482198400.0,3.13,30.0,4.56,46.0,0.0,0.0,33.0,0.0,11,5,0,0
